date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:00	3573/3573	---M--	200	added ('OK')	image/jpeg	etag:%22df5-4e33d9ff534c0%22	http://circulareconomytoolkit.org/images/slideshow/polatec.jpg	circulareconomytoolkit.org/images/slideshow/polatec.jpg	(from http://circulareconomytoolkit.org/design-manufacture-distribute.html)
21:34:00	5413/5413	---M--	200	added ('OK')	image/jpeg	etag:%221525-4e33d9b02ba00%22	http://circulareconomytoolkit.org/images/slideshow/ribena.jpg	circulareconomytoolkit.org/images/slideshow/ribena.jpg	(from http://circulareconomytoolkit.org/design-manufacture-distribute.html)
21:34:00	155540/155540	---M--	200	added ('OK')	image/png	etag:%2225f94-4e5657d54a700%22	http://circulareconomytoolkit.org/img/Picture19.png	circulareconomytoolkit.org/img/Picture19.png	(from http://circulareconomytoolkit.org/)
21:34:00	5402/5402	---M--	200	added ('OK')	image/jpeg	etag:%22151a-4e33dbcddb800%22	http://circulareconomytoolkit.org/images/slideshow/tata.jpg	circulareconomytoolkit.org/images/slideshow/tata.jpg	(from http://circulareconomytoolkit.org/design-manufacture-distribute.html)
21:34:02	4776/4776	---M--	200	added ('OK')	image/jpeg	etag:%2212a8-4e33db9967c40%22	http://circulareconomytoolkit.org/images/slideshow/bs.jpg	circulareconomytoolkit.org/images/slideshow/bs.jpg	(from http://circulareconomytoolkit.org/design-manufacture-distribute.html)
21:34:06	9038/9038	---M--	200	added ('OK')	image/jpeg	etag:%22234e-4e33cfd6a7d00%22	http://circulareconomytoolkit.org/images/slideshow/dyson.jpg	circulareconomytoolkit.org/images/slideshow/dyson.jpg	(from http://circulareconomytoolkit.org/usage.html)
21:34:07	5829/5829	---M--	200	added ('OK')	image/jpeg	etag:%2216c5-4e33d170bc480%22	http://circulareconomytoolkit.org/images/slideshow/flintandtinder.jpg	circulareconomytoolkit.org/images/slideshow/flintandtinder.jpg	(from http://circulareconomytoolkit.org/usage.html)
21:34:08	63687/63687	---M--	200	added ('OK')	image/png	etag:%22f8c7-4e3b162136f40%22	http://circulareconomytoolkit.org/images/Circ1.png	circulareconomytoolkit.org/images/Circ1.png	(from http://circulareconomytoolkit.org/design-manufacture-distribute.html)
21:34:10	19848/19848	---MCZ	200	added ('OK')	text/html	etag:W/%224d88-4e767022d17c0%22	http://circulareconomytoolkit.org/maintain-repair.html	circulareconomytoolkit.org/maintain-repair.html	(from http://circulareconomytoolkit.org/Toolkit.html)
21:34:12	26194/26194	---M--	200	added ('OK')	image/jpeg	etag:%226652-4e33854218800%22	http://circulareconomytoolkit.org/images/slideshow/patagonia.jpg	circulareconomytoolkit.org/images/slideshow/patagonia.jpg	(from http://circulareconomytoolkit.org/reuse-redistribute.html)
21:34:14	17552/17552	---MCZ	200	added ('OK')	text/html	etag:W/%224490-4e767036d8700%22	http://circulareconomytoolkit.org/recycle.html	circulareconomytoolkit.org/recycle.html	(from http://circulareconomytoolkit.org/Toolkit.html)
21:34:16	7773/7773	---M--	200	added ('OK')	image/jpeg	etag:%221e5d-4e33d6baf3f80%22	http://circulareconomytoolkit.org/images/slideshow/rollsroyce.jpg	circulareconomytoolkit.org/images/slideshow/rollsroyce.jpg	(from http://circulareconomytoolkit.org/products-as-a-service.html)
21:34:18	63916/63916	---M--	200	added ('OK')	image/png	etag:%22f9ac-4e3b162f85100%22	http://circulareconomytoolkit.org/images/Circ2.png	circulareconomytoolkit.org/images/Circ2.png	(from http://circulareconomytoolkit.org/usage.html)
21:34:19	17984/17984	---MCZ	200	added ('OK')	text/html	etag:W/%224640-4e76706687780%22	http://circulareconomytoolkit.org/tools.html	circulareconomytoolkit.org/tools.html	(from http://circulareconomytoolkit.org/Toolkit.html)
21:34:20	63620/63620	---M--	200	added ('OK')	image/png	etag:%22f884-4e3b1645744c0%22	http://circulareconomytoolkit.org/images/Circ4.png	circulareconomytoolkit.org/images/Circ4.png	(from http://circulareconomytoolkit.org/reuse-redistribute.html)
21:34:22	4936/4936	---M--	200	added ('OK')	image/png	etag:%221348-4e4690eb0a800%22	http://circulareconomytoolkit.org/images/tool/diagram.png	circulareconomytoolkit.org/images/tool/diagram.png	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:34:22	13283/13283	---MCZ	200	added ('OK')	application/javascript	etag:W/%2233e3-4e33857780600%22	http://circulareconomytoolkit.org/js/jquery.maphilight.js	circulareconomytoolkit.org/js/jquery.maphilight.js	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:34:23	1842/1842	---M--	200	added ('OK')	image/png	etag:%22732-4e3e711e4cb00%22	http://circulareconomytoolkit.org/images/tool/rect2_grey.png	circulareconomytoolkit.org/images/tool/rect2_grey.png	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:34:23	3944/3944	---MCZ	200	added ('OK')	text/css	etag:W/%22f68-4e3384c435f00%22	http://circulareconomytoolkit.org/css/flexslider.css	circulareconomytoolkit.org/css/flexslider.css	(from http://circulareconomytoolkit.org/Workshops.html)
21:34:24	63581/63581	---M--	200	added ('OK')	image/png	etag:%22f85d-4e3b166aa5c80%22	http://circulareconomytoolkit.org/images/Circ7.png	circulareconomytoolkit.org/images/Circ7.png	(from http://circulareconomytoolkit.org/products-as-a-service.html)
21:34:24	41391/41391	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a1af-4e33857b50f00%22	http://circulareconomytoolkit.org/js/jquery.flexslider.js	circulareconomytoolkit.org/js/jquery.flexslider.js	(from http://circulareconomytoolkit.org/Workshops.html)
21:34:32	69883/69883	---M--	200	added ('OK')	image/png	etag:%22110fb-4e441f6b66b80%22	http://circulareconomytoolkit.org/images/WorkshopSlides.png	circulareconomytoolkit.org/images/WorkshopSlides.png	(from http://circulareconomytoolkit.org/Workshops.html)
21:34:40	29159/29159	---M--	200	added ('OK')	image/jpeg	etag:%2271e7-4e5659939c400%22	http://circulareconomytoolkit.org/img/image11.jpg	circulareconomytoolkit.org/img/image11.jpg	(from http://circulareconomytoolkit.org/Workshops.html)
21:34:40	47623/47623	---M--	200	added ('OK')	image/jpeg	etag:%22ba07-4e56597f954c0%22	http://circulareconomytoolkit.org/img/image9.jpg	circulareconomytoolkit.org/img/image9.jpg	(from http://circulareconomytoolkit.org/Workshops.html)
21:34:40	59714/59714	---M--	200	added ('OK')	image/png	etag:%22e942-4e441f75e4440%22	http://circulareconomytoolkit.org/images/FeedbackSlides.png	circulareconomytoolkit.org/images/FeedbackSlides.png	(from http://circulareconomytoolkit.org/Workshops.html)
21:34:48	12728/12728	---M--	200	added ('OK')	image/jpeg	etag:%2231b8-4e56596b8e580%22	http://circulareconomytoolkit.org/img/image7.jpg	circulareconomytoolkit.org/img/image7.jpg	(from http://circulareconomytoolkit.org/Workshops.html)
21:34:54	31006/31006	---M--	200	added ('OK')	image/jpeg	etag:%22791e-4e565974239c0%22	http://circulareconomytoolkit.org/img/image8.jpg	circulareconomytoolkit.org/img/image8.jpg	(from http://circulareconomytoolkit.org/Workshops.html)
21:34:58	13108/13108	---M--	200	added ('OK')	image/jpeg	etag:%223334-4e5659465cdc0%22	http://circulareconomytoolkit.org/img/image3.jpg	circulareconomytoolkit.org/img/image3.jpg	(from http://circulareconomytoolkit.org/Workshops.html)
21:34:58	2429/2429	---M--	200	added ('OK')	image/jpeg	etag:%2297d-4e5659ac67e80%22	http://circulareconomytoolkit.org/img/image13.jpg	circulareconomytoolkit.org/img/image13.jpg	(from http://circulareconomytoolkit.org/Workshops.html)
21:35:00	35335/35335	---M--	200	added ('OK')	image/jpeg	etag:%228a07-4e565939f7080%22	http://circulareconomytoolkit.org/img/image2.jpg	circulareconomytoolkit.org/img/image2.jpg	(from http://circulareconomytoolkit.org/Workshops.html)
21:35:00	3416/3416	---M--	200	added ('OK')	image/jpeg	etag:%22d58-4e5659bbaa280%22	http://circulareconomytoolkit.org/img/image15.jpg	circulareconomytoolkit.org/img/image15.jpg	(from http://circulareconomytoolkit.org/Workshops.html)
21:35:03	3875/3875	---M--	200	added ('OK')	image/jpeg	etag:%22f23-4e33d9549e200%22	http://circulareconomytoolkit.org/images/slideshow/Puma.jpg	circulareconomytoolkit.org/images/slideshow/Puma.jpg	(from http://circulareconomytoolkit.org/design-manufacture-distribute.html)
21:35:03	7680/7680	---MCZ	200	added ('OK')	text/html	etag:W/%221e00-51026d81af400%22	http://circulareconomytoolkit.org/about.html	circulareconomytoolkit.org/about.html	(from http://circulareconomytoolkit.org/)
21:35:03	33402/33402	---MCZ	200	added ('OK')	text/css	etag:W/%22827a-4e3384b4f3b00%22	http://circulareconomytoolkit.org/jquery-ui.css	circulareconomytoolkit.org/jquery-ui.css	(from http://circulareconomytoolkit.org/design-manufacture-distribute.html)
21:35:04	5988/5988	---M--	200	added ('OK')	image/jpeg	etag:%221764-4e33db50ed140%22	http://circulareconomytoolkit.org/images/slideshow/toy.jpg	circulareconomytoolkit.org/images/slideshow/toy.jpg	(from http://circulareconomytoolkit.org/design-manufacture-distribute.html)
21:35:09	19886/19886	---M--	200	added ('OK')	image/jpeg	etag:%224dae-4e33854f72780%22	http://circulareconomytoolkit.org/images/slideshow/dell.jpg	circulareconomytoolkit.org/images/slideshow/dell.jpg	(from http://circulareconomytoolkit.org/maintain-repair.html)
